"G.A.B. Canvass Reporting System",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,
,,,,,,,,,,,,,
"2012 PRESIDENTIAL AND GENERAL ELECTION",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President of the United States",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","IND",,"IND","IND","IND","IND","IND",
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY",,"GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)","ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)","SCATTERING"
,"TOWN OF TIPLER WARD 1",101,81,20,0,0,,0,0,0,0,0,0
,"County Totals:","2,625","1,645",953,6,12,,0,1,1,0,0,7
"FOND DU LAC ","TOWN OF ALTO Wards 1-2",619,465,150,3,1,,0,0,0,0,0,0
,"TOWN OF ASHFORD Wards 1 -3","1,033",733,288,3,6,,0,0,2,0,0,1
,"TOWN OF AUBURN Wards 1-3","1,434","1,057",352,6,14,,0,1,4,0,0,0
,"TOWN OF BYRON Wards 1-2","1,005",696,300,2,6,,0,0,0,0,0,1
,"TOWN OF CALUMET Ward 1",512,315,196,0,1,,0,0,0,0,0,0
,"TOWN OF CALUMET Ward 2",352,234,114,3,1,,0,0,0,0,0,0
,"TOWN OF EDEN Wards 1-2",648,467,173,1,6,,0,0,1,0,0,0
,"TOWN OF ELDORADO Wards 1-3",837,550,277,1,5,,0,0,4,0,0,0
,"TOWN OF EMPIRE Wards 1-4","1,846","1,212",621,6,3,,0,0,4,0,0,0
,"TOWN OF FOND DU LAC Wards 1-8","1,976","1,194",756,2,15,,0,1,4,0,0,4
,"TOWN OF FOND DU LAC Ward 1A",0,0,0,0,0,,0,0,0,0,0,0
,"TOWN OF FOREST Wards 1-2",645,474,165,1,4,,0,0,1,0,0,0
,"TOWN OF FRIENDSHIP Wards 1-3","1,421",801,612,2,6,,0,0,0,0,0,0
,"TOWN OF LAMARTINE Wards 1-2","1,048",688,341,6,7,,0,0,2,0,0,4
,"TOWN OF MARSHFIELD Wards 1-2",662,456,201,4,1,,0,0,0,0,0,0
,"TOWN OF METOMEN Wards 1-2",405,258,140,3,3,,0,0,1,0,0,0
,"TOWN OF OAKFIELD Wards 1-2",383,247,127,1,7,,0,0,1,0,0,0
,"TOWN OF OSCEOLA Wards 1-2","1,150",840,296,3,8,,0,0,2,0,0,1
,"TOWN OF RIPON Wards 1-2",799,479,309,3,4,,0,1,3,0,0,0
,"TOWN OF ROSENDALE Ward 1",420,276,139,2,2,,0,0,1,0,0,0
,"TOWN OF SPRINGVALE Ward 1",390,247,138,1,3,,0,0,0,0,0,1
,"TOWN OF TAYCHEEDAH Wards 1-5","2,816","1,872",919,2,17,,0,1,2,0,0,3
,"TOWN OF WAUPUN Wards 1-2",830,540,280,0,8,,0,0,1,0,0,1
,"VILLAGE OF BRANDON Ward 1",450,272,172,0,1,,0,0,2,0,0,3
,"VILLAGE OF CAMPBELLSPORT Wards 1-4","1,010",622,371,5,4,,0,0,6,0,1,1
,"VILLAGE OF EDEN Ward 1",417,238,176,0,3,,0,0,0,0,0,0
,"VILLAGE OF FAIRWATER Ward 1",187,115,70,0,1,,0,0,0,0,0,1
,"VILLAGE OF KEWASKUM WD 6",0,0,0,0,0,,0,0,0,0,0,0
,"VILLAGE OF MOUNT CALVARY Ward 1",298,188,105,0,1,,0,0,3,0,0,1
,"VILLAGE OF NORTH FOND DU LAC Wards 1-7","2,398","1,095","1,273",3,11,,3,0,9,0,1,3
,"VILLAGE OF OAKFIELD Wards 1-2",608,356,242,1,4,,0,0,5,0,0,0
,"VILLAGE OF ROSENDALE Wards 1-2",594,371,216,5,1,,0,0,0,0,0,1
,"VILLAGE OF ST. CLOUD Ward 1",299,200,96,0,3,,0,0,0,0,0,0
,"CITY OF FOND DU LAC WARD 1",788,359,418,1,6,,0,0,1,0,0,3
,"CITY OF FOND DU LAC WARD 2",731,272,452,0,3,,0,1,1,0,1,1
,"CITY OF FOND DU LAC WARD 3","1,114",527,572,1,10,,0,0,1,1,0,2
,"CITY OF FOND DU LAC WARD 4",794,328,450,4,9,,0,0,2,0,0,1
,"CITY OF FOND DU LAC WARD 5","1,100",512,575,2,8,,0,0,0,0,0,3
,"CITY OF FOND DU LAC WARD 6",938,458,471,1,4,,0,1,2,0,0,1
,"CITY OF FOND DU LAC WARD 7",740,336,393,1,8,,0,0,0,0,0,2
,"CITY OF FOND DU LAC WARD 8","1,012",433,562,1,11,,0,0,4,0,0,1
,"CITY OF FOND DU LAC WARD 9",700,258,432,1,7,,0,1,1,0,0,0
,"CITY OF FOND DU LAC WARD 10",992,501,475,2,10,,0,0,3,0,0,1
,"CITY OF FOND DU LAC WARD 11",565,242,310,5,4,,0,0,1,0,0,3
,"CITY OF FOND DU LAC WARD 12",961,475,475,1,6,,0,0,1,0,0,3
,"CITY OF FOND DU LAC WARD 13",639,263,368,2,3,,0,1,1,0,0,1
,"CITY OF FOND DU LAC WARD 14","1,053",570,477,0,4,,0,0,1,0,0,1
,"CITY OF FOND DU LAC WARD 15",614,388,220,0,2,,1,0,1,0,0,2
,"CITY OF FOND DU LAC WARD 16",742,391,334,2,7,,0,0,3,0,0,5
,"CITY OF FOND DU LAC WARD 17",172,80,88,0,3,,0,0,1,0,0,0
,"CITY OF FOND DU LAC WARD 18",66,43,23,0,0,,0,0,0,0,0,0
,"CITY OF FOND DU LAC WARD 19",892,376,505,4,6,,0,0,1,0,0,0
,"CITY OF FOND DU LAC WARD 20",0,0,0,0,0,,0,0,0,0,0,0
,"CITY OF FOND DU LAC WARD 21","1,028",487,518,2,12,,0,0,7,0,0,2
,"CITY OF FOND DU LAC WARD 22","1,089",588,492,1,4,,0,0,3,0,0,1
,"CITY OF FOND DU LAC WARD 23","1,147",643,495,1,7,,0,0,0,0,0,1
,"CITY OF FOND DU LAC WARD 24","1,098",584,506,0,5,,0,0,1,0,0,2
,"CITY OF FOND DU LAC WARD 25","1,339",849,476,3,9,,0,0,2,0,0,0
,"CITY OF FOND DU LAC WARD 26",2,2,0,0,0,,0,0,0,0,0,0
,"CITY OF FOND DU LAC WARD 27",0,0,0,0,0,,0,0,0,0,0,0
,"CITY OF RIPON WARDS 1-3",973,495,469,2,3,,1,0,3,0,0,0
,"CITY OF RIPON WARDS 4-6",980,443,509,1,20,,0,0,5,1,0,1
,"CITY OF RIPON WARDS 7-8",846,382,447,3,9,,0,0,1,0,1,3
,"CITY OF RIPON WARDS 9-11",977,462,507,2,3,,0,0,2,0,0,1
,"CITY OF WAUPUN Wards 9B",0,0,0,0,0,,0,0,0,0,0,0
,"CITY OF WAUPUN Wards 9, 9A, 10, 11 ,12","1,818","1,050",745,3,11,,0,0,4,0,0,5
,"County Totals:","53,402","30,355","22,379",115,351,,5,8,111,2,4,72
"FOREST ","TOWN OF ALVIN WARD 1",106,56,49,0,1,,0,0,0,0,0,0
,"TOWN OF ARGONNE WARDS 1, 2, 3",253,103,141,1,4,,0,2,1,0,0,1
,"TOWN OF ARMSTRONG CREEK WARD 1",223,112,111,0,0,,0,0,0,0,0,0
,"TOWN OF BLACKWELL WARD 1",100,39,58,0,1,,0,1,1,0,0,0
,"TOWN OF CASWELL WARD 1",52,31,21,0,0,,0,0,0,0,0,0
,"TOWN OF CRANDON WARDS 1, 2, 3",319,126,187,4,2,,0,0,0,0,0,0
,"TOWN OF FREEDOM WARD 1",223,135,87,0,1,,0,0,0,0,0,0
,"TOWN OF HILES WARD 1",240,122,115,1,2,,0,0,0,0,0,0
,"TOWN OF LAONA Wards 1-3",624,300,320,0,0,,0,0,1,0,0,3
,"TOWN OF LINCOLN WARDS 1, 2, 3",511,226,282,0,3,,0,0,0,0,0,0
,"TOWN OF NASHVILLE WARD 1",199,120,78,1,0,,0,0,0,0,0,0
,"TOWN OF NASHVILLE WARD 2",164,11,151,1,0,,0,1,0,0,0,0
,"TOWN OF NASHVILLE WARD 3",238,138,98,0,1,,0,0,1,0,0,0
,"TOWN OF POPPLE RIVER WARD 1",23,10,13,0,0,,0,0,0,0,0,0
,"TOWN OF ROSS WARD 1",78,44,32,0,2,,0,0,0,0,0,0
,"TOWN OF WABENO WARDS 1, 2, 3, 4, 5",485,220,260,1,2,,0,0,1,0,0,1
,"CITY OF CRANDON WARDS 1 - 4",810,379,422,2,4,,0,0,1,0,0,2
,"County Totals:","4,648","2,172","2,425",11,23,,0,4,6,0,0,7
"GRANT ","TOWN OF BEETOWN WARD 1",301,168,128,1,2,,1,0,0,0,0,1
,"TOWN OF BLOOMINGTON Ward 1",171,95,74,0,1,,0,0,1,0,0,0
,"TOWN OF BOSCOBEL WARDS 1 & 2",196,83,110,0,1,,0,0,1,0,0,1
,"TOWN OF CASSVILLE WARD 1",197,93,101,0,2,,0,0,0,0,0,1
,"TOWN OF CASTLE ROCK WARD 1",135,57,77,0,0,,0,0,1,0,0,0
,"TOWN OF CLIFTON WARDS 1 & 2",151,68,81,1,1,,0,0,0,0,0,0
,"TOWN OF ELLENBORO WARD 1",289,151,135,3,0,,0,0,0,0,0,0
,"TOWN OF FENNIMORE WARDS 1 & 2",247,118,126,2,0,,0,0,1,0,0,0
,"TOWN OF GLEN HAVEN WARD 1",180,98,81,0,0,,0,0,0,0,0,1
,"TOWN OF HARRISON WARD 1",275,148,124,0,1,,0,0,2,0,0,0
,"TOWN OF HAZEL GREEN Wards 1 - 2",643,259,375,1,5,,0,0,3,0,0,0
,"TOWN OF HICKORY GROVE WARD 1",169,90,77,0,1,,0,0,0,0,0,1
,"TOWN OF JAMESTOWN WARDS 1, 2 & 3","1,071",552,501,4,8,,0,0,2,0,0,4
,"TOWN OF LIBERTY WARD 1",258,137,119,1,1,,0,0,0,0,0,0
,"TOWN OF LIMA WARD 1",375,170,198,3,1,,0,0,2,0,0,1
,"TOWN OF LITTLE GRANT WARD 1",112,65,45,0,1,,0,0,1,0,0,0
,"TOWN OF MARION WARD 1",234,93,138,2,0,,0,0,1,0,0,0
,"TOWN OF MILLVILLE WARD 1",91,32,58,1,0,,0,0,0,0,0,0
,"TOWN OF MOUNT HOPE WARD 1",101,50,51,0,0,,0,0,0,0,0,0
,"TOWN OF MOUNT IDA WARD 1",246,133,111,0,1,,1,0,0,0,0,0
,"TOWN OF MUSCODA WARD 1",303,134,165,0,2,,0,0,2,0,0,0
,"TOWN OF NORTH LANCASTER WARDS 1 & 2",264,141,122,1,0,,0,0,0,0,0,0
,"TOWN OF PARIS WARD 1 & 2",381,204,176,0,1,,0,0,0,0,0,0
,"TOWN OF PATCH GROVE WARD 1",154,67,82,0,0,,0,0,5,0,0,0
,"TOWN OF PLATTEVILLE WARDS 1, 2 & 3",822,398,416,2,4,,0,0,1,0,0,1
,"TOWN OF POTOSI WARD 1",418,181,229,2,0,,0,1,1,0,0,4
,"TOWN OF SMELSER WARDS 1 & 2",457,221,230,1,3,,0,1,0,1,0,0
,"TOWN OF SOUTH LANCASTER WARDS 1, 2 & 3",335,171,157,2,4,,1,0,0,0,0,0
,"TOWN OF WATERLOO WARD 1",254,110,124,0,0,,0,0,1,0,0,19
,"TOWN OF WATTERSTOWN WARD 1 & 2",152,67,84,0,0,,0,0,0,0,0,1
,"TOWN OF WINGVILLE WARD 1",166,71,94,0,0,,0,1,0,0,0,0
,"TOWN OF WOODMAN WARD 1",76,37,36,0,1,,0,0,1,0,0,1
,"TOWN OF WYALUSING WARD 1",185,80,105,0,0,,0,0,0,0,0,0
,"VILLAGE OF BAGLEY WARD 1",172,47,123,0,0,,0,0,1,0,0,1
,"VILLAGE OF BLOOMINGTON WARD 1",343,160,177,2,4,,0,0,0,0,0,0
,"VILLAGE OF BLUE RIVER WARD 1",203,80,118,1,2,,1,0,1,0,0,0
,"VILLAGE OF CASSVILLE WARDS 1 & 2",390,158,226,1,2,,0,0,0,0,0,3
,"VILLAGE OF DICKEYVILLE Wards 1-2",562,261,291,2,5,,0,0,2,0,0,1
,"VILLAGE OF HAZEL GREEN WARD 1 & 2",585,205,376,0,3,,1,0,0,0,0,0
,"VILLAGE OF LIVINGSTON WARD 1",322,108,210,1,3,,0,0,0,0,0,0
,"VILLAGE OF MONTFORT WARD 1",266,93,169,0,4,,0,0,0,0,0,0
,"VILLAGE OF MOUNT HOPE WARD 1",67,23,43,0,1,,0,0,0,0,0,0
,"VILLAGE OF MUSCODA WARDS 1-2",558,180,372,0,6,,0,0,0,0,0,0
,"VILLAGE OF PATCH GROVE WARD 1",70,27,43,0,0,,0,0,0,0,0,0
,"VILLAGE OF POTOSI WARD 1",372,154,213,1,3,,0,0,0,0,0,1
,"VILLAGE OF TENNYSON WARD 1",182,81,100,1,0,,0,0,0,0,0,0
,"VILLAGE OF WOODMAN WARD 1",47,15,29,0,2,,0,0,1,0,0,0
,"CITY OF BOSCOBEL WARDS 1-4","1,219",402,803,5,5,,0,0,2,0,0,2
,"CITY OF CUBA CITY Wards 1-4",923,338,573,3,6,,0,0,1,0,0,2
,"CITY OF FENNIMORE Wards 1-4","1,141",478,652,0,10,,0,0,1,0,0,0
,"CITY OF LANCASTER Wards 1- 6","1,820",816,981,6,10,,0,1,3,0,0,3
,"CITY OF PLATTEVILLE WARDS 1-2","1,371",495,851,4,16,,1,0,1,0,0,3
,"CITY OF PLATTEVILLE WARDS 3-4","1,304",473,803,0,19,,2,0,4,0,0,3
,"CITY OF PLATTEVILLE WARDS 5-6","1,173",497,624,6,30,,0,0,9,0,0,7
,"CITY OF PLATTEVILLE WARDS 7-8","1,749",622,"1,087",2,29,,1,1,4,0,0,3
,"County Totals:","24,248","10,255","13,594",62,201,,9,5,56,1,0,65
"GREEN ","TOWN OF ADAMS WARD 1",298,127,167,1,0,,1,0,1,0,0,1
,"TOWN OF ALBANY WARDS 1 & 2",617,258,350,3,3,,0,1,1,0,0,1
,"TOWN OF BROOKLYN WARDS 1-2-3",690,283,399,2,4,,0,0,1,0,0,1
,"TOWN OF CADIZ WARD 1",430,205,214,3,5,,0,0,1,0,0,2
,"TOWN OF CLARNO WARDS 1 & 2",622,316,301,2,2,,0,0,0,0,0,1
,"TOWN OF DECATUR WARDS 1-2-3",989,458,524,0,6,,0,0,0,0,0,1
,"TOWN OF EXETER WARDS 1-2-3-4","1,159",411,740,1,4,,0,0,1,0,0,2
,"TOWN OF JEFFERSON WARDS 1 & 2",625,351,266,1,4,,0,0,3,0,0,0
,"TOWN OF JORDAN WARD 1",355,168,180,0,3,,0,0,3,0,0,1
,"TOWN OF MONROE WARDS 1 & 2",682,347,321,1,8,,1,1,1,0,0,2
,"TOWN OF MOUNT PLEASANT WARD 1",137,52,82,0,1,,0,0,2,0,0,0
,"TOWN OF MOUNT PLEASANT WARDS 2-3",210,86,123,0,0,,0,0,0,0,0,1
,"TOWN OF NEW GLARUS WARDS 1-2",809,369,432,1,3,,0,0,1,0,0,3
,"TOWN OF SPRING GROVE WARD 1",485,256,225,0,3,,0,0,1,0,0,0
,"TOWN OF SYLVESTER WARDS 1 & 2",591,323,266,0,0,,0,0,2,0,0,0
,"TOWN OF WASHINGTON WARD 1",455,172,282,0,1,,0,0,0,0,0,0
,"TOWN OF YORK WARD 1",556,202,345,1,2,,0,0,5,0,0,1
,"VILLAGE OF ALBANY WARDS 1 & 2",507,139,363,1,1,,0,0,2,0,0,1
,"VILLAGE OF BELLEVILLE WARD 3",293,88,204,0,1,,0,0,0,0,0,0
,"VILLAGE OF BROOKLYN WARD 2",244,75,164,1,1,,0,0,1,0,0,2
,"VILLAGE OF BROWNTOWN WARD 1",143,62,76,1,4,,0,0,0,0,0,0
,"VILLAGE OF MONTICELLO WARDS 1 & 2",674,225,438,0,5,,0,0,2,0,0,4
,"VILLAGE OF NEW GLARUS WARDS 1-2-3-4","1,256",351,888,1,12,,0,0,3,0,0,1
,"CITY OF BRODHEAD WARDS 1-2-3-4-5-6","1,385",525,821,2,28,,0,0,3,0,0,6
,"CITY OF MONROE wards 1 - 9","5,110","2,008","3,035",7,41,,0,1,10,0,0,8
,"County Totals:","19,322","7,857","11,206",29,142,,2,3,44,0,0,39
"GREEN LAKE ","TOWN OF BERLIN WARDS 1-3",682,477,203,1,1,,0,0,0,0,0,0
,"TOWN OF BROOKLYN Wards 1 - 3","1,179",750,422,2,4,,0,0,1,0,0,0
,"TOWN OF GREEN LAKE WARDS 1-2",745,542,198,1,2,,0,0,2,0,0,0
,"TOWN OF KINGSTON Wards 1 - 2",293,183,109,1,0,,0,0,0,0,0,0
,"TOWN OF MACKFORD WARD 1",305,222,82,0,0,,0,0,1,0,0,0
,"TOWN OF MANCHESTER WARD 1",402,270,128,0,2,,1,0,0,0,0,1
,"TOWN OF MARQUETTE WARD 1",286,170,114,1,1,,0,0,0,0,0,0
,"TOWN OF PRINCETON Wards 1 - 4",855,500,345,2,3,,0,0,2,0,0,3
,"TOWN OF ST. MARIE Wards 1 - 2",220,137,79,0,2,,0,0,1,0,0,1
,"TOWN OF SENECA WARD 1",214,130,82,0,2,,0,0,0,0,0,0
,"VILLAGE OF KINGSTON WARD 1",181,103,77,1,0,,0,0,0,0,0,0
,"VILLAGE OF MARQUETTE WARD 1",69,44,25,0,0,,0,0,0,0,0,0
,"CITY OF BERLIN WARDS 1-6","2,337","1,208","1,088",10,17,,3,0,7,0,0,4
,"CITY OF GREEN LAKE Wards 1 - 3",581,335,243,1,1,,0,0,0,0,0,1
,"CITY OF MARKESAN Wards 1 - 3",715,436,270,1,4,,0,0,3,0,1,0
,"CITY OF PRINCETON Wards 1 - 4",611,275,328,1,4,,0,0,2,0,0,1
,"County Totals:","9,675","5,782","3,793",22,43,,4,0,19,0,1,11
"IOWA ","TOWN OF ARENA Wards 1-2",875,288,582,0,1,,0,0,0,0,0,4
,"TOWN OF BRIGHAM Wards 1-2",628,228,386,2,9,,0,0,1,0,0,2
,"TOWN OF CLYDE Ward 1",188,70,114,0,2,,0,0,2,0,0,0
,"TOWN OF DODGEVILLE Wards 1-4","1,023",397,614,0,4,,0,0,5,0,0,3
,"TOWN OF EDEN Ward 1",213,90,121,1,1,,0,0,0,0,0,0
,"TOWN OF HIGHLAND Wards 1- 2",395,149,242,1,3,,0,0,0,0,0,0
,"TOWN OF LINDEN Wards 1-3",382,171,208,1,1,,0,0,1,0,0,0
,"TOWN OF MIFFLIN Wards 1-2",293,127,161,1,3,,0,1,0,0,0,0
,"TOWN OF MINERAL POINT Wards 1- 2",515,241,274,0,0,,0,0,0,0,0,0
,"TOWN OF MOSCOW Wards 1-2",372,129,239,0,2,,0,0,0,0,0,2
,"TOWN OF PULASKI Ward 1",174,89,84,0,1,,0,0,0,0,0,0
,"TOWN OF RIDGEWAY Wards 1-2",367,110,254,0,3,,0,0,0,0,0,0
,"TOWN OF WALDWICK Wards 1-2",266,100,166,0,0,,0,0,0,0,0,0
,"TOWN OF WYOMING Wards 1-2",206,61,144,0,0,,0,0,1,0,0,0
,"VILLAGE OF ARENA Ward 1",440,120,313,2,2,,0,0,1,0,0,2
,"VILLAGE OF AVOCA Ward 1",253,65,187,0,1,,0,0,0,0,0,0
,"VILLAGE OF BARNEVELD Wards 1-2",614,181,426,1,6,,0,0,0,0,0,0
,"VILLAGE OF BLANCHARDVILLE WARD 2",98,31,63,0,3,,0,0,1,0,0,0
,"VILLAGE OF COBB Ward 1",251,82,165,0,4,,0,0,0,0,0,0
,"VILLAGE OF HIGHLAND Ward 1",421,138,273,1,6,,0,0,1,0,0,2
,"VILLAGE OF HOLLANDALE Ward 1",144,36,107,0,0,,0,0,1,0,0,0
,"VILLAGE OF LINDEN Ward 1",243,55,185,1,1,,0,0,0,0,0,1
,"VILLAGE OF LIVINGSTON Ward 2",4,0,4,0,0,,0,0,0,0,0,0
,"VILLAGE OF MONTFORT Ward 2",54,21,33,0,0,,0,0,0,0,0,0
,"VILLAGE OF MUSCODA Ward 3",26,9,15,0,0,,0,0,1,0,0,1
,"VILLAGE OF REWEY Ward 1",105,26,77,1,1,,0,0,0,0,0,0
,"VILLAGE OF RIDGEWAY Ward 1",319,91,224,0,2,,0,1,1,0,0,0
,"CITY OF DODGEVILLE WARD 1, 2, 10",594,225,361,0,4,,0,0,3,0,0,1
,"CITY OF DODGEVILLE WARD 3 & 4",586,203,371,0,8,,0,0,3,0,0,1
,"CITY OF DODGEVILLE WARD 5 & 6",524,148,373,0,1,,0,0,2,0,0,0
,"CITY OF DODGEVILLE WARD 7, 8, 9",604,213,382,1,6,,0,0,1,0,0,1
,"CITY OF MINERAL POINT Wards 1 - 6","1,357",393,957,0,3,,0,0,2,0,0,2
,"County Totals:","12,534","4,287","8,105",13,78,,0,2,27,0,0,22
"IRON ","TOWN OF ANDERSON ward 1",46,20,26,0,0,,0,0,0,0,0,0
,"TOWN OF CAREY Ward 1",102,58,42,0,1,,0,0,1,0,0,0
,"TOWN OF GURNEY Ward 1",92,34,55,1,1,,0,0,1,0,0,0
,"TOWN OF KIMBALL Ward 1",319,155,156,3,4,,0,0,1,0,0,0
,"TOWN OF KNIGHT Ward 1",131,65,62,1,0,,0,0,3,0,0,0
,"TOWN OF MERCER WARDS 1-4",992,561,415,3,5,,0,1,0,0,0,7
,"TOWN OF OMA Ward 1",225,130,92,0,0,,0,0,2,0,0,1
,"TOWN OF PENCE Ward 1",121,59,58,1,1,,1,1,0,0,0,0
,"TOWN OF SAXON Ward 1",208,96,108,0,3,,1,0,0,0,0,0
,"TOWN OF SHERMAN Ward 1",223,131,91,0,1,,0,0,0,0,0,0
,"CITY OF HURLEY WARD 1",179,69,108,1,1,,0,0,0,0,0,0
,"CITY OF HURLEY WARD 2",211,96,114,0,1,,0,0,0,0,0,0
,"CITY OF HURLEY WARD 3",146,63,80,0,3,,0,0,0,0,0,0
,"CITY OF HURLEY WARD 4",192,58,129,0,4,,0,0,1,0,0,0
,"CITY OF MONTREAL Wards 1-2",445,195,248,0,2,,0,0,0,0,0,0
,"County Totals:","3,632","1,790","1,784",10,27,,2,2,9,0,0,8
"JACKSON ","TOWN OF ADAMS WARDS 1-3",803,383,417,1,1,,0,1,0,0,0,0
,"TOWN OF ALBION WARDS 1-4",598,255,337,0,3,,0,0,1,0,0,2
,"TOWN OF ALMA Wards 1 & 4",167,83,79,1,2,,2,0,0,0,0,0
,"TOWN OF ALMA Wards 2,3 & 5",333,186,145,0,2,,0,0,0,0,0,0
,"TOWN OF BEAR BLUFF WARD 1",85,67,14,0,2,,0,0,0,0,0,2
,"TOWN OF BROCKWAY WARDS 1-6",797,226,563,1,3,,0,0,1,0,0,3
,"TOWN OF CITY POINT WARD 1",110,47,63,0,0,,0,0,0,0,0,0
,"TOWN OF CLEVELAND WARD 1",232,125,104,0,0,,0,0,2,0,0,1
,"TOWN OF CURRAN WARD 1",148,50,94,1,0,,0,0,0,0,0,3
,"TOWN OF FRANKLIN WARD 1",199,50,143,0,2,,0,0,2,0,0,2
,"TOWN OF GARDEN VALLEY WARD 1",242,136,103,0,1,,0,0,0,0,0,2
,"TOWN OF GARFIELD WARD 1",323,156,154,5,7,,0,0,0,0,0,1
,"TOWN OF HIXTON WARDS 1 & 2",328,156,168,2,2,,0,0,0,0,0,0
,"TOWN OF IRVING WARDS 1-3",365,143,220,0,2,,0,0,0,0,0,0
,"TOWN OF KNAPP WARD 1",159,100,56,1,0,,0,0,2,0,0,0
,"TOWN OF KOMENSKY WARD 1",140,18,122,0,0,,0,0,0,0,0,0
,"TOWN OF MANCHESTER WARD 1",371,183,183,0,4,,0,1,0,0,0,0
,"TOWN OF MELROSE WARD 1",221,116,103,0,1,,0,0,1,0,0,0
,"TOWN OF MILLSTON WARD 1",101,51,49,0,0,,1,0,0,0,0,0
,"TOWN OF NORTH BEND WARD 1",261,90,169,0,1,,0,0,1,0,0,0
,"TOWN OF NORTHFIELD WARD 1",335,160,170,2,2,,0,0,0,0,0,1
,"TOWN OF SPRINGFIELD WARD 1",239,101,134,0,4,,0,0,0,0,0,0
,"VILLAGE OF ALMA CENTER WARD 1",235,94,138,0,2,,0,0,0,0,0,1
,"VILLAGE OF HIXTON WARD 1",225,88,137,0,0,,0,0,0,0,0,0
,"VILLAGE OF MELROSE WARD 1",261,94,165,0,0,,0,0,2,0,0,0
,"VILLAGE OF MERRILLAN WARD 1",245,71,171,0,1,,1,0,1,0,0,0
,"VILLAGE OF TAYLOR WARD 1",193,50,141,0,1,,0,0,1,0,0,0
,"CITY OF BLACK RIVER FALLS Wards 1-4","1,597",621,956,3,5,,0,2,7,0,0,3
,"County Totals:","9,313","3,900","5,298",17,48,,4,4,21,0,0,21
"JEFFERSON ","TOWN OF AZTALAN Wards 1 - 2",840,425,409,3,3,,0,0,0,0,0,0
,"TOWN OF COLD SPRING WARD 1",471,286,175,1,7,,0,0,1,0,0,1
,"TOWN OF CONCORD Wards 1-3","1,251",810,432,0,8,,0,0,1,0,0,0
,"TOWN OF FARMINGTON Ward 1 - 2",865,533,328,0,2,,0,0,0,0,0,2
,"TOWN OF HEBRON Wards 1-2",651,387,253,1,5,,0,0,3,0,0,2
,"TOWN OF IXONIA WARDS 1-6","2,712","1,930",741,6,17,,0,0,13,0,0,5
,"TOWN OF JEFFERSON WARDS 1-3","1,247",718,511,4,7,,0,0,5,0,0,2
,"TOWN OF KOSHKONONG WARDS 1, 6",261,129,127,2,3,,0,0,0,0,0,0
,"TOWN OF KOSHKONONG WARDS 2-5","1,907","1,042",845,4,12,,0,0,3,0,0,1
,"TOWN OF LAKE MILLS Wards 1-3","1,294",633,647,3,4,,0,0,5,0,0,2
,"TOWN OF MILFORD Wards 1,2",635,349,273,5,4,,0,0,3,0,0,1
,"TOWN OF OAKLAND Wards 1 - 4","1,916",863,"1,033",4,6,,0,0,6,0,0,4
,"TOWN OF PALMYRA Wards 1-2",771,502,262,1,2,,1,0,3,0,0,0
,"TOWN OF SULLIVAN WARDS 1-3","1,339",909,399,3,16,,0,1,3,0,0,8
,"TOWN OF SUMNER WARD 1",524,269,253,0,2,,0,0,0,0,0,0
,"TOWN OF WATERLOO WARD 1",513,281,228,0,3,,0,0,1,0,0,0
,"TOWN OF WATERTOWN Wards 1,2","1,163",751,402,2,5,,0,0,0,0,0,3
,"VILLAGE OF CAMBRIDGE WARD 1",42,14,28,0,0,,0,0,0,0,0,0
,"VILLAGE OF JOHNSON CREEK WARDS 1-3","1,450",797,632,5,11,,0,0,4,0,0,1
,"VILLAGE OF LAC LA BELLE WARD 2",0,0,0,0,0,,0,0,0,0,0,0
,"VILLAGE OF PALMYRA Wards 1 & 2",937,569,349,3,7,,1,0,3,0,0,5
,"VILLAGE OF SULLIVAN WARD 1",349,227,116,0,5,,0,0,0,0,0,1
,"CITY OF FORT ATKINSON WARDS 1-3","2,209",979,"1,197",4,19,,0,0,3,0,0,7
,"CITY OF FORT ATKINSON WARDS 4-6","1,871",797,"1,037",5,17,,0,0,5,0,0,10
,"CITY OF FORT ATKINSON WARDS 7-9","2,099",886,"1,187",1,12,,0,0,8,0,0,5
,"CITY OF JEFFERSON WARDS 1-10","3,596","1,590","1,946",16,23,,0,1,11,0,0,9
,"CITY OF LAKE MILLS Wards 1-8","3,332","1,448","1,841",4,28,,0,0,6,0,0,5
,"CITY OF WATERLOO Wards 1-5","1,625",693,926,0,0,,0,2,2,0,0,2
,"CITY OF WATERTOWN Ward 8",371,175,189,0,6,,0,0,0,0,0,1
,"CITY OF WATERTOWN Wards 9 - 10","1,349",897,426,2,16,,0,0,4,0,0,4
