city,county,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12
TOWN OF WESTON,CLARK,307,196,100,2,8,0,1,0,0,310,161,145,0,3,0,0
TOWN OF WITHEE,CLARK,283,191,78,5,6,0,0,2,1,301,169,125,1,5,0,0
TOWN OF WORDEN,CLARK,233,165,55,4,5,0,4,0,0,239,136,102,0,1,0,0
TOWN OF YORK,CLARK,344,222,100,4,12,0,3,3,0,376,191,177,4,4,0,0
VILLAGE OF CURTISS,CLARK,47,32,12,1,2,0,0,0,0,54,33,20,1,0,0,0
VILLAGE OF DORCHESTER,CLARK,300,197,79,4,14,0,1,0,5,292,176,112,0,4,0,0
VILLAGE OF GRANTON,CLARK,179,112,55,0,8,0,4,0,0,168,82,83,0,2,0,0
VILLAGE OF UNITY,CLARK,75,61,9,1,4,0,0,0,0,65,40,23,0,2,0,0
VILLAGE OF WITHEE,CLARK,246,156,71,2,8,0,3,5,1,220,107,111,0,2,0,0
CITY OF ABBOTSFORD,CLARK,640,373,232,4,16,0,7,4,4,671,386,278,1,6,0,0
CITY OF COLBY,CLARK,547,339,169,2,22,0,4,5,6,539,310,223,1,4,0,0
CITY OF GREENWOOD,CLARK,530,285,203,5,22,0,7,4,4,487,238,241,1,6,0,0
CITY OF LOYAL,CLARK,565,358,177,5,18,0,4,2,1,607,355,247,0,4,0,0
CITY OF NEILLSVILLE,CLARK,1067,595,409,5,29,0,12,9,8,1148,563,567,2,14,0,0
CITY OF OWEN,CLARK,435,220,174,7,28,0,5,0,1,421,185,232,1,2,0,0
CITY OF STANLEY,CLARK,8,1,1,0,0,0,0,2,4,1,0,1,0,0,0,0
CITY OF THORP,CLARK,737,453,250,9,22,0,3,0,0,760,359,388,3,9,0,0
TOWN OF ARLINGTON,COLUMBIA,468,238,203,1,20,0,2,0,4,494,211,276,0,7,0,0
TOWN OF CALEDONIA,COLUMBIA,878,369,454,3,30,0,13,1,8,879,389,485,2,2,0,0
TOWN OF COLUMBUS,COLUMBIA,375,206,134,7,17,0,2,5,4,376,200,174,0,0,0,0
TOWN OF COURTLAND,COLUMBIA,253,173,66,1,9,0,0,1,3,260,169,89,0,2,0,0
TOWN OF DEKORRA,COLUMBIA,1392,700,616,4,42,0,18,0,12,1482,696,769,2,12,0,0
TOWN OF FORT WINNEBAGO,COLUMBIA,511,303,185,0,17,0,3,2,1,554,263,280,0,10,0,0
TOWN OF FOUNTAIN PRAIRIE,COLUMBIA,508,245,228,3,18,0,2,6,6,525,223,293,0,9,0,0
TOWN OF HAMPDEN,COLUMBIA,358,193,147,1,11,0,1,1,4,355,182,169,0,4,0,0
TOWN OF LEEDS,COLUMBIA,476,239,195,3,23,0,7,3,6,511,244,259,1,5,0,0
TOWN OF LEWISTON,COLUMBIA,686,343,305,5,18,0,6,2,7,688,307,379,0,1,0,0
TOWN OF LODI,COLUMBIA,2000,961,905,10,71,0,21,11,21,1992,934,1044,1,9,0,0
TOWN OF LOWVILLE,COLUMBIA,622,321,268,5,18,0,4,1,5,657,300,350,2,5,0,0
TOWN OF MARCELLON,COLUMBIA,517,291,202,7,8,0,3,4,2,561,267,289,4,1,0,0
TOWN OF NEWPORT,COLUMBIA,391,216,149,0,13,0,7,3,3,398,175,219,0,3,0,0
TOWN OF OTSEGO,COLUMBIA,398,209,159,0,22,0,4,2,2,398,179,213,0,5,0,0
TOWN OF PACIFIC,COLUMBIA,1598,848,685,2,40,0,6,6,11,1676,796,867,2,8,0,0
TOWN OF RANDOLPH,COLUMBIA,417,323,78,1,5,0,2,3,5,423,318,101,2,1,0,0
TOWN OF SCOTT,COLUMBIA,339,188,118,2,23,0,3,1,4,370,213,155,0,2,0,0
TOWN OF SPRINGVALE,COLUMBIA,309,180,120,1,3,0,3,1,1,294,143,149,0,2,0,0
TOWN OF WEST POINT,COLUMBIA,1277,556,645,4,44,0,7,6,15,1266,560,695,0,11,0,0
TOWN OF WYOCENA,COLUMBIA,956,487,422,2,27,0,4,3,11,957,422,531,0,4,0,0
VILLAGE OF ARLINGTON,COLUMBIA,471,227,215,4,14,0,6,2,3,481,207,271,0,1,0,0
VILLAGE OF CAMBRIA,COLUMBIA,368,175,161,6,12,0,8,4,2,378,154,218,1,3,0,0
VILLAGE OF DOYLESTOWN,COLUMBIA,139,61,63,0,10,0,4,0,1,142,49,90,2,1,0,0
VILLAGE OF FALL RIVER,COLUMBIA,804,396,346,3,29,0,12,5,13,838,337,492,0,6,0,0
VILLAGE OF FRIESLAND,COLUMBIA,163,114,37,2,5,0,2,0,3,179,124,54,0,1,0,0
VILLAGE OF PARDEEVILLE,COLUMBIA,1029,523,437,14,29,0,14,5,7,1105,448,648,0,9,0,0
VILLAGE OF POYNETTE,COLUMBIA,1240,530,621,6,51,0,14,2,16,1315,448,847,2,13,0,0
VILLAGE OF RANDOLPH,COLUMBIA,239,154,64,1,14,0,3,1,2,254,146,106,0,2,0,0
VILLAGE OF RIO,COLUMBIA,556,246,250,2,26,0,17,6,9,548,175,359,2,11,0,0
VILLAGE OF WYOCENA,COLUMBIA,333,172,129,2,18,0,9,1,2,361,141,215,2,3,0,0
CITY OF COLUMBUS,COLUMBIA,2709,1089,1381,12,130,0,47,24,26,2737,1045,1648,1,32,0,0
CITY OF LODI,COLUMBIA,1752,641,998,4,68,0,12,10,19,1668,589,1065,0,13,0,0
CITY OF PORTAGE,COLUMBIA,4052,1710,2033,19,176,0,58,12,44,4252,1497,2697,8,40,0,0
CITY OF WISCONSIN DELLS,COLUMBIA,1114,536,509,1,31,0,22,6,9,1172,475,679,2,14,0,0
TOWN OF BRIDGEPORT,CRAWFORD,548,295,220,3,22,0,1,3,4,546,280,259,1,6,0,0
TOWN OF CLAYTON,CRAWFORD,463,199,231,3,18,0,8,2,2,477,163,306,1,7,0,0
TOWN OF EASTMAN,CRAWFORD,405,238,141,2,14,0,7,0,3,372,181,175,2,10,0,0
TOWN OF FREEMAN,CRAWFORD,420,208,183,4,20,0,3,2,0,378,134,239,1,4,0,0
TOWN OF HANEY,CRAWFORD,165,72,83,1,9,0,0,0,0,177,58,119,0,0,0,0
TOWN OF MARIETTA,CRAWFORD,261,156,87,2,11,0,1,4,0,274,126,144,0,3,0,0
TOWN OF PRAIRIE DU CHIEN,CRAWFORD,476,268,178,2,18,0,5,2,3,461,212,243,0,6,0,0
TOWN OF SCOTT,CRAWFORD,241,113,114,2,6,0,3,1,2,249,86,159,2,2,0,0
TOWN OF SENECA,CRAWFORD,451,238,191,0,17,0,0,2,3,437,182,243,1,8,0,0
TOWN OF UTICA,CRAWFORD,337,135,173,5,13,0,6,3,2,339,110,223,0,5,0,0
TOWN OF WAUZEKA,CRAWFORD,206,119,72,1,11,0,1,0,2,210,101,102,1,5,0,0
VILLAGE OF BELL CENTER,CRAWFORD,46,19,16,1,3,0,5,0,2,52,17,34,0,1,0,0
VILLAGE OF DE SOTO,CRAWFORD,47,18,29,0,0,0,0,0,0,54,20,34,0,0,0,0
VILLAGE OF EASTMAN,CRAWFORD,177,111,55,0,9,0,0,1,1,174,85,85,2,1,0,0
VILLAGE OF FERRYVILLE,CRAWFORD,126,52,70,0,4,0,0,0,0,104,36,64,0,4,0,0
VILLAGE OF GAYS MILLS,CRAWFORD,229,95,119,1,11,0,1,1,1,253,71,174,1,7,0,0
VILLAGE OF LYNXVILLE,CRAWFORD,71,43,28,0,0,0,0,0,0,74,36,37,0,1,0,0
VILLAGE OF MT. STERLING,CRAWFORD,87,33,47,0,4,0,0,0,3,91,30,61,0,0,0,0
VILLAGE OF SOLDIERS GROVE,CRAWFORD,247,114,117,1,7,0,4,1,3,257,90,162,0,4,0,0
VILLAGE OF STEUBEN,CRAWFORD,51,34,16,1,0,0,0,0,0,55,17,38,0,0,0,0
VILLAGE OF WAUZEKA,CRAWFORD,287,158,109,3,13,0,2,1,1,281,93,188,0,0,0,0
CITY OF PRAIRIE DU CHIEN,CRAWFORD,2387,1118,1140,13,67,0,26,12,11,2502,939,1540,4,15,0,0
TOWN OF ALBION,DANE,1135,463,592,8,50,0,14,1,7,1116,369,732,1,11,0,0
TOWN OF BERRY,DANE,759,285,415,3,27,0,9,4,16,778,323,448,1,4,0,0
TOWN OF BLACK EARTH,DANE,331,137,176,0,10,0,2,1,5,338,134,201,0,2,0,0
TOWN OF BLOOMING GROVE,DANE,1025,294,665,0,27,0,21,8,10,1143,290,834,1,15,0,0
TOWN OF BLUE MOUNDS,DANE,597,239,315,2,29,0,3,1,8,590,252,332,2,4,0,0
TOWN OF BRISTOL,DANE,2411,1100,1132,5,108,0,27,7,32,2292,1042,1229,0,20,0,0
TOWN OF BURKE,DANE,1943,762,1076,3,54,0,26,4,18,1990,797,1168,2,21,0,0
TOWN OF CHRISTIANA,DANE,724,323,363,3,24,0,3,2,6,752,313,433,1,5,0,0
TOWN OF COTTAGE GROVE,DANE,2430,921,1374,4,85,0,20,8,18,2494,1003,1469,1,17,0,0
TOWN OF CROSS PLAINS,DANE,959,394,498,9,34,0,15,3,6,985,417,561,1,6,0,0
TOWN OF DANE,DANE,536,276,222,7,18,0,2,6,5,552,268,273,1,9,0,0
TOWN OF DEERFIELD,DANE,896,385,459,1,26,0,11,5,9,924,383,538,1,2,0,0
TOWN OF DUNKIRK,DANE,1218,463,683,3,39,0,6,10,14,1258,424,820,5,9,0,0
TOWN OF DUNN,DANE,3255,1148,1911,9,105,0,47,12,23,3351,1198,2122,3,23,0,0
TOWN OF MADISON,DANE,2456,253,1999,4,73,0,85,12,30,2561,300,2200,7,50,0,0
TOWN OF MAZOMANIE,DANE,648,262,347,3,17,0,10,2,7,683,246,432,2,2,0,0
TOWN OF MEDINA,DANE,755,342,378,0,22,0,4,6,3,790,345,434,1,9,0,0
TOWN OF MIDDLETON,DANE,4082,1470,2313,13,155,0,30,30,71,4024,1916,2076,4,28,0,0
TOWN OF MONTROSE,DANE,710,246,429,2,20,0,5,2,6,699,222,470,1,6,0,0
TOWN OF OREGON,DANE,2119,713,1276,13,70,0,19,8,20,2138,813,1307,2,14,0,0
TOWN OF PERRY,DANE,491,163,306,1,12,0,2,1,6,494,170,321,0,0,0,0
TOWN OF PLEASANT SPRINGS,DANE,2099,869,1119,7,59,0,15,5,25,2118,896,1199,1,21,0,0
TOWN OF PRIMROSE,DANE,448,143,273,4,18,0,8,0,2,456,136,313,0,7,0,0
TOWN OF ROXBURY,DANE,1086,453,557,4,42,0,7,3,20,1055,444,605,1,5,0,0
TOWN OF RUTLAND,DANE,1290,461,738,3,49,0,16,8,15,1309,462,834,1,8,0,0
TOWN OF SPRINGDALE,DANE,1236,455,684,7,52,0,22,4,12,1270,534,727,0,8,0,0
TOWN OF SPRINGFIELD,DANE,1645,703,833,9,58,0,12,11,19,1687,765,914,2,6,0,0
TOWN OF SUN PRAIRIE,DANE,1380,594,719,2,41,0,9,1,14,1405,541,854,2,6,0,0
TOWN OF VERMONT,DANE,548,174,342,0,18,0,6,3,5,582,188,386,1,6,0,0
TOWN OF VERONA,DANE,1286,462,757,2,39,0,10,5,11,1316,529,775,1,10,0,0
TOWN OF VIENNA,DANE,921,444,422,3,22,0,14,10,6,910,442,460,2,4,0,0
TOWN OF WESTPORT,DANE,2821,1031,1607,7,94,0,28,18,36,2804,1221,1566,2,15,0,0
TOWN OF YORK,DANE,400,191,194,2,10,0,2,0,1,412,178,230,0,4,0,0
VILLAGE OF BELLEVILLE,DANE,1040,303,687,4,27,0,8,3,8,1061,290,759,1,11,0,0
VILLAGE OF BLACK EARTH,DANE,777,237,498,5,21,0,4,9,3,775,230,539,1,4,0,0
VILLAGE OF BLUE MOUNDS,DANE,518,152,329,1,20,0,7,0,9,490,166,320,0,4,0,0
VILLAGE OF BROOKLYN,DANE,526,157,331,2,20,0,9,1,6,518,170,338,1,8,0,0
VILLAGE OF CAMBRIDGE,DANE,869,312,513,2,27,0,9,1,5,849,334,505,1,7,0,0
VILLAGE OF COTTAGE GROVE,DANE,3680,1197,2246,5,150,0,30,12,40,3638,1334,2271,4,22,0,0
VILLAGE OF CROSS PLAINS,DANE,2200,695,1344,7,88,0,25,17,24,2204,785,1396,3,17,0,0
VILLAGE OF DANE,DANE,552,238,268,2,29,0,6,4,5,548,222,323,0,2,0,0
VILLAGE OF DEERFIELD,DANE,1317,478,735,2,58,0,31,0,13,1297,434,840,2,17,0,0
VILLAGE OF DEFOREST,DANE,5007,1720,2897,23,241,0,52,34,40,4951,1794,3092,10,49,0,0
VILLAGE OF MAPLE BLUFF,DANE,1053,294,690,3,31,0,15,8,12,1033,448,576,0,8,0,0
VILLAGE OF MARSHALL,DANE,1754,694,937,9,68,0,26,5,15,1857,638,1202,2,12,0,0
VILLAGE OF MAZOMANIE,DANE,932,304,551,6,42,0,18,8,3,992,301,679,1,11,0,0
VILLAGE OF MCFARLAND,DANE,4949,1465,3123,24,198,0,52,28,59,4898,1717,3131,2,42,0,0
VILLAGE OF MOUNT HOREB,DANE,4111,1205,2591,13,179,0,61,23,39,4130,1413,2666,7,42,0,0
VILLAGE OF OREGON,DANE,5972,1753,3818,15,223,0,54,30,79,5744,1925,3748,8,54,0,0
VILLAGE OF ROCKDALE,DANE,105,30,64,0,9,0,0,1,1,120,32,86,0,2,0,0
VILLAGE OF SHOREWOOD HILLS,DANE,1460,121,1285,0,28,0,13,6,7,1247,195,1040,2,9,0,0
VILLAGE OF WAUNAKEE,DANE,7704,2840,4351,22,299,0,56,62,74,7307,3202,4059,5,31,0,0
VILLAGE OF WINDSOR,DANE,4279,1679,2320,20,171,0,36,13,40,3876,1585,2253,5,26,0,0
CITY OF EDGERTON,DANE,60,26,28,0,6,0,0,0,0,49,16,33,0,0,0,0
CITY OF FITCHBURG,DANE,13916,2923,10121,27,477,0,137,79,152,13492,3854,9481,12,125,0,0
CITY OF MADISON,DANE,153281,23052,120178,306,4911,0,2576,559,1699,150598,29987,117802,137,2447,0,0
CITY OF MIDDLETON,DANE,11931,2488,8727,22,354,0,153,46,141,11572,3255,8170,7,127,0,0
CITY OF MONONA,DANE,5514,1050,4145,12,151,0,60,29,67,5480,1286,4119,13,52,0,0
CITY OF STOUGHTON,DANE,7113,2107,4593,17,199,0,111,31,55,7184,2156,4959,7,56,0,0
CITY OF SUN PRAIRIE,DANE,16676,5153,10281,63,720,0,177,76,206,16146,5824,10143,19,139,0,0
CITY OF VERONA,DANE,7418,1983,4872,26,287,0,80,56,114,6849,2490,4278,7,69,0,0
TOWN OF ASHIPPUN,DODGE,1589,1149,371,9,48,0,6,6,0,1569,1147,412,4,5,0,0
TOWN OF BEAVER DAM,DODGE,2124,1143,866,6,77,0,17,15,0,2160,1066,1073,1,15,0,0
TOWN OF BURNETT,DODGE,517,348,135,5,17,0,3,9,0,549,311,232,0,5,0,0
TOWN OF CALAMUS,DODGE,508,301,181,3,19,0,3,1,0,537,273,258,0,5,0,0
TOWN OF CHESTER,DODGE,371,255,96,3,14,0,1,2,0,384,244,135,0,4,0,0
TOWN OF CLYMAN,DODGE,426,315,87,1,20,0,0,3,0,436,304,128,0,4,0,0
TOWN OF ELBA,DODGE,592,323,236,5,27,0,0,1,0,609,298,308,1,2,0,0
TOWN OF EMMET,DODGE,770,556,178,4,22,0,5,5,0,803,559,237,3,4,0,0
TOWN OF FOX LAKE,DODGE,700,485,195,3,12,0,4,1,0,697,423,271,0,3,0,0
TOWN OF HERMAN,DODGE,696,571,98,4,16,0,2,5,0,729,593,129,2,3,0,0
TOWN OF HUBBARD,DODGE,1045,699,298,11,27,0,3,7,0,1057,667,381,1,8,0,0
TOWN OF HUSTISFORD,DODGE,837,624,177,1,24,0,4,7,0,846,601,238,3,4,0,0
TOWN OF LEBANON,DODGE,919,661,225,3,21,0,2,7,0,982,670,306,1,3,0,0
TOWN OF LEROY,DODGE,521,387,112,3,16,0,1,2,0,542,382,158,0,2,0,0
TOWN OF LOMIRA,DODGE,648,493,118,2,23,0,3,9,0,655,482,167,0,6,0,0
TOWN OF LOWELL,DODGE,575,403,152,0,15,0,2,3,0,615,361,250,0,4,0,0
TOWN OF OAK GROVE,DODGE,570,363,184,3,17,0,0,3,0,583,328,251,1,3,0,0
TOWN OF PORTLAND,DODGE,583,344,212,7,15,0,5,0,0,599,309,282,1,5,0,0
TOWN OF RUBICON,DODGE,1349,1063,225,6,35,0,10,10,0,1365,1046,307,0,9,0,0
TOWN OF SHIELDS,DODGE,345,228,99,1,12,0,2,3,0,334,218,112,1,3,0,0
TOWN OF THERESA,DODGE,622,464,123,1,25,0,6,3,0,659,487,165,4,3,0,0
TOWN OF TRENTON,DODGE,736,513,179,3,33,0,0,8,0,746,469,275,0,2,0,0
TOWN OF WESTFORD,DODGE,726,446,250,4,20,0,4,2,0,759,409,345,1,1,0,0
TOWN OF WILLIAMSTOWN,DODGE,469,348,101,1,9,0,2,8,0,463,342,118,1,1,0,0
VILLAGE OF BROWNSVILLE,DODGE,325,216,90,2,5,0,5,7,0,334,229,104,0,1,0,0
VILLAGE OF CLYMAN,DODGE,197,110,66,0,13,0,2,6,0,199,94,101,0,3,0,0
VILLAGE OF HUSTISFORD,DODGE,577,405,141,7,17,0,4,3,0,610,356,241,6,6,0,0
VILLAGE OF IRON RIDGE,DODGE,488,332,120,2,18,0,11,5,0,516,309,197,0,10,0,0
VILLAGE OF KEKOSKEE,DODGE,84,54,25,2,3,0,0,0,0,103,58,42,2,0,0,0
VILLAGE OF LOMIRA,DODGE,1190,812,317,2,42,0,11,6,0,1230,789,428,1,11,0,0
VILLAGE OF LOWELL,DODGE,168,112,41,3,7,0,1,4,0,172,93,77,0,2,0,0
VILLAGE OF NEOSHO,DODGE,340,242,74,1,20,0,1,2,0,333,237,89,0,6,0,0
VILLAGE OF RANDOLPH,DODGE,620,364,208,4,30,0,3,11,0,643,366,273,0,3,0,0
VILLAGE OF REESEVILLE,DODGE,312,190,102,0,18,0,0,2,0,323,146,173,2,2,0,0
VILLAGE OF THERESA,DODGE,716,477,183,8,33,0,9,6,0,717,454,253,4,5,0,0
CITY OF BEAVER DAM,DODGE,7170,3322,3398,47,274,0,83,46,0,7532,2914,4521,10,74,0,0
CITY OF FOX LAKE,DODGE,724,401,264,4,39,0,14,2,0,738,326,393,0,16,0,0
CITY OF HORICON,DODGE,1768,1030,623,9,77,0,18,11,0,1861,932,907,2,15,0,0
CITY OF JUNEAU,DODGE,988,563,353,11,44,0,11,6,0,1041,513,505,2,18,0,0
CITY OF MAYVILLE,DODGE,2585,1605,836,16,81,0,32,15,0,2594,1469,1087,12,24,0,0
CITY OF WATERTOWN,DODGE,4324,2563,1474,30,163,0,45,49,0,4502,2691,1742,9,49,0,0
CITY OF WAUPUN,DODGE,2264,1355,755,18,90,0,26,20,0,2362,1246,1091,1,20,0,0
TOWN OF BAILEYS HARBOR,DOOR,814,327,441,0,24,0,7,4,11,812,341,466,0,3,0,0
TOWN OF BRUSSELS,DOOR,605,374,200,2,20,0,7,0,2,585,303,275,1,5,0,0
TOWN OF CLAY BANKS,DOOR,238,129,104,3,2,0,0,0,0,253,127,124,0,1,0,0
TOWN OF EGG HARBOR,DOOR,915,472,400,0,26,0,10,1,6,910,392,509,0,7,0,0
TOWN OF FORESTVILLE,DOOR,576,335,206,4,21,0,5,3,2,582,258,315,4,4,0,0
TOWN OF GARDNER,DOOR,706,424,245,5,21,0,4,3,4,723,357,359,2,3,0,0
TOWN OF GIBRALTAR,DOOR,801,325,428,3,24,0,11,7,3,796,360,423,0,10,0,0
TOWN OF JACKSONPORT,DOOR,522,275,232,2,10,0,1,1,1,527,266,257,0,4,0,0
TOWN OF LIBERTY GROVE,DOOR,1406,582,733,6,46,0,9,6,24,1437,616,807,4,9,0,0
TOWN OF NASEWAUPEE,DOOR,1240,703,461,6,46,0,6,8,10,1236,649,574,2,7,0,0
TOWN OF SEVASTOPOL,DOOR,1859,974,780,8,60,0,14,11,12,1862,960,888,2,11,0,0
TOWN OF STURGEON BAY,DOOR,520,271,224,2,16,0,3,1,3,523,248,266,0,9,0,0
TOWN OF UNION,DOOR,610,388,190,0,22,0,2,3,5,579,326,251,1,1,0,0
TOWN OF WASHINGTON,DOOR,555,301,226,4,16,0,6,2,0,590,316,268,1,5,0,0
VILLAGE OF EGG HARBOR,DOOR,201,80,113,0,4,0,1,0,3,199,82,117,0,0,0,0
VILLAGE OF EPHRAIM,DOOR,244,89,140,0,5,0,1,2,7,249,115,131,0,3,0,0
VILLAGE OF FORESTVILLE,DOOR,251,144,86,1,11,0,3,6,0,250,107,139,0,3,0,0
VILLAGE OF SISTER BAY,DOOR,665,267,358,1,19,0,7,4,9,635,286,344,0,5,0,0
CITY OF STURGEON BAY,DOOR,4864,2120,2447,15,165,0,48,22,47,4923,2012,2844,5,48,0,0
TOWN OF AMNICON,DOUGLAS,643,303,307,3,9,0,8,8,5,656,239,403,1,13,0,0
TOWN OF BENNETT,DOUGLAS,367,209,140,3,3,0,9,0,3,352,167,177,2,6,0,0
TOWN OF BRULE,DOUGLAS,377,145,207,2,15,0,1,0,7,408,136,265,4,3,0,0
TOWN OF CLOVERLAND,DOUGLAS,131,75,46,0,6,0,2,0,2,131,65,65,1,0,0,0
TOWN OF DAIRYLAND,DOUGLAS,113,82,24,1,3,0,1,1,1,111,57,53,0,1,0,0
TOWN OF GORDON,DOUGLAS,458,247,186,0,16,0,1,5,3,449,205,238,1,5,0,0
TOWN OF HAWTHORNE,DOUGLAS,609,328,246,1,15,0,9,2,8,584,256,319,1,8,0,0
TOWN OF HIGHLAND,DOUGLAS,215,103,97,0,6,0,2,5,2,192,88,101,1,2,0,0
TOWN OF LAKESIDE,DOUGLAS,384,191,164,4,12,0,8,1,4,388,158,223,3,4,0,0
TOWN OF MAPLE,DOUGLAS,394,167,194,3,5,0,15,1,9,405,112,284,1,5,0,0
TOWN OF OAKLAND,DOUGLAS,673,305,336,1,14,0,9,3,5,662,216,437,0,6,0,0
TOWN OF PARKLAND,DOUGLAS,682,306,336,5,25,0,5,1,4,692,201,483,0,8,0,0
TOWN OF SOLON SPRINGS,DOUGLAS,602,336,229,1,19,0,4,3,10,575,253,316,2,4,0,0
TOWN OF SUMMIT,DOUGLAS,602,255,312,1,19,0,8,0,7,603,167,425,1,10,0,0
TOWN OF SUPERIOR,DOUGLAS,1289,645,593,4,24,0,8,4,11,1311,511,784,3,13,0,0
TOWN OF WASCOTT,DOUGLAS,494,273,195,1,11,0,7,0,7,499,229,262,1,7,0,0
VILLAGE OF LAKE NEBAGAMON,DOUGLAS,697,381,288,2,9,0,14,2,1,745,360,376,1,8,0,0
VILLAGE OF OLIVER,DOUGLAS,253,97,143,0,8,0,3,0,2,244,58,185,1,0,0,0
VILLAGE OF POPLAR,DOUGLAS,347,210,123,1,8,0,2,1,2,363,186,168,2,7,0,0
VILLAGE OF SOLON SPRINGS,DOUGLAS,382,186,160,2,16,0,11,2,5,357,126,227,0,4,0,0
VILLAGE OF SUPERIOR,DOUGLAS,398,175,203,0,9,0,5,4,2,392,132,256,2,2,0,0
CITY OF SUPERIOR,DOUGLAS,12426,4642,6828,58,472,0,207,44,175,12775,3783,8816,20,148,0,0
TOWN OF COLFAX,DUNN,614,365,209,3,30,0,3,4,0,604,311,287,1,5,0,0
TOWN OF DUNN,DUNN,773,396,337,4,21,0,13,2,0,768,346,404,3,14,0,0
TOWN OF EAU GALLE,DUNN,436,295,124,0,14,0,3,0,0,443,259,178,0,6,0,0
TOWN OF ELK MOUND,DUNN,896,563,278,5,40,0,5,5,0,880,508,360,2,9,0,0
TOWN OF GRANT,DUNN,244,146,90,2,6,0,0,0,0,241,128,109,0,4,0,0
TOWN OF HAY RIVER,DUNN,312,177,102,5,22,0,5,1,0,278,132,138,0,8,0,0
TOWN OF LUCAS,DUNN,414,252,133,6,16,0,6,1,0,399,201,191,1,6,0,0
TOWN OF MENOMONIE,DUNN,1742,911,730,5,61,0,26,9,0,1776,813,927,8,25,0,0
TOWN OF NEW HAVEN,DUNN,331,216,95,3,14,0,2,1,0,331,185,141,1,4,0,0
TOWN OF OTTER CREEK,DUNN,259,155,90,2,8,0,4,0,0,265,124,135,3,3,0,0
TOWN OF PERU,DUNN,125,78,38,0,8,0,1,0,0,125,61,64,0,0,0,0
TOWN OF RED CEDAR,DUNN,1227,703,449,7,57,0,8,3,0,1216,660,538,4,12,0,0
TOWN OF ROCK CREEK,DUNN,536,315,198,1,13,0,9,0,0,518,256,256,1,3,0,0
TOWN OF SAND CREEK,DUNN,303,176,114,1,7,0,5,0,0,292,154,136,0,2,0,0
TOWN OF SHERIDAN,DUNN,242,169,63,1,6,0,3,0,0,241,123,117,0,1,0,0
TOWN OF SHERMAN,DUNN,509,318,163,2,19,0,5,2,0,503,291,201,2,7,0,0
TOWN OF SPRING BROOK,DUNN,901,552,290,4,46,0,7,2,0,867,475,381,2,6,0,0
TOWN OF STANTON,DUNN,432,297,117,1,12,0,3,2,0,409,229,171,0,8,0,0
TOWN OF TAINTER,DUNN,1452,795,556,5,70,0,19,7,0,1415,677,716,2,17,0,0
TOWN OF TIFFANY,DUNN,339,242,82,2,11,0,1,1,0,326,190,135,0,0,0,0
TOWN OF WESTON,DUNN,304,187,97,1,16,0,3,0,0,305,158,144,0,3,0,0
TOWN OF WILSON,DUNN,271,153,103,1,9,0,4,1,0,262,110,144,0,7,0,0
VILLAGE OF BOYCEVILLE,DUNN,437,256,157,1,18,0,5,0,0,480,214,259,1,6,0,0
VILLAGE OF COLFAX,DUNN,539,278,226,0,24,0,8,3,0,519,221,289,2,6,0,0
VILLAGE OF DOWNING,DUNN,119,89,28,0,2,0,0,0,0,100,45,55,0,0,0,0
VILLAGE OF ELK MOUND,DUNN,355,182,150,1,19,0,2,1,0,373,162,201,2,7,0,0
VILLAGE OF KNAPP,DUNN,234,162,56,0,14,0,2,0,0,237,147,86,0,4,0,0
VILLAGE OF RIDGELAND,DUNN,114,61,48,0,4,0,1,0,0,102,40,61,0,1,0,0
VILLAGE OF WHEELER,DUNN,116,57,49,1,7,0,1,1,0,135,51,81,2,1,0,0
CITY OF MENOMONIE,DUNN,7530,2940,3862,36,499,0,140,53,0,7582,2953,4411,12,178,0,0
TOWN OF BRIDGE CREEK,EAU CLAIRE,605,362,219,3,12,0,8,1,0,590,306,276,3,5,0,0
TOWN OF BRUNSWICK,EAU CLAIRE,1060,541,453,7,40,0,3,5,11,1036,520,507,2,7,0,0
TOWN OF CLEAR CREEK,EAU CLAIRE,419,252,149,3,12,0,1,0,2,425,210,210,2,3,0,0
TOWN OF DRAMMEN,EAU CLAIRE,423,239,164,0,13,0,3,1,3,443,210,226,0,4,0,0
TOWN OF FAIRCHILD,EAU CLAIRE,143,100,37,1,2,0,2,1,0,145,78,65,0,1,0,0
TOWN OF LINCOLN,EAU CLAIRE,585,340,214,5,19,0,4,0,3,599,321,275,2,1,0,0
TOWN OF LUDINGTON,EAU CLAIRE,588,332,205,3,29,0,8,3,8,581,295,275,0,9,0,0
TOWN OF OTTER CREEK,EAU CLAIRE,254,149,84,2,16,0,0,0,3,248,141,105,0,1,0,0
TOWN OF PLEASANT VALLEY,EAU CLAIRE,2185,1239,818,16,64,0,16,11,21,2105,1192,897,2,12,0,0
TOWN OF SEYMOUR,EAU CLAIRE,1983,1019,838,10,71,0,18,12,15,1898,921,958,1,15,0,0
TOWN OF UNION,EAU CLAIRE,1468,755,610,9,61,0,10,12,11,1453,705,731,2,12,0,0
TOWN OF WASHINGTON,EAU CLAIRE,4376,2210,1888,18,140,0,38,34,48,4332,2236,2054,2,33,0,0
TOWN OF WILSON,EAU CLAIRE,204,148,53,1,2,0,0,0,0,191,105,84,1,1,0,0
