county_city_key,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12,scanner,voting_machine
BARRON___TOWN OF BEAR LAKE,377,226,133,1,10,0,5,2,0,364,164,195,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF CEDAR LAKE,697,471,210,1,11,0,4,0,0,647,376,268,0,2,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF CHETEK,1055,651,375,0,22,0,6,1,0,1043,552,477,2,12,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF CLINTON,355,220,112,3,19,0,0,1,0,354,199,149,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF CRYSTAL LAKE,411,266,137,2,2,0,0,4,0,409,204,195,2,8,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF CUMBERLAND,464,269,166,2,22,0,0,0,5,452,230,214,2,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF DALLAS,288,191,78,3,15,0,0,1,0,295,168,118,3,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF DOVRE,387,231,138,2,11,0,2,2,1,374,189,185,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF DOYLE,288,210,67,2,8,0,1,0,0,284,174,106,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF LAKELAND,563,341,201,1,15,0,3,2,0,575,297,272,0,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF MAPLE GROVE,485,342,110,4,23,0,2,1,3,497,323,163,1,9,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF MAPLE PLAIN,480,257,207,1,9,0,4,1,1,481,239,238,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF OAK GROVE,491,298,177,1,11,0,1,1,2,502,241,255,2,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
